序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
264,接收,17:26:57.255.0,0x00000123,数据帧,标准帧,0x08,02 65 01 02 05 09 00 00 
265,接收,17:26:57.412.0,0x00000123,数据帧,标准帧,0x08,02 66 01 02 05 09 00 00 
266,接收,17:26:57.412.0,0x00000123,数据帧,标准帧,0x08,02 67 01 02 05 09 00 00 
267,接收,17:26:57.412.0,0x00000123,数据帧,标准帧,0x08,02 68 01 02 05 09 00 00 
268,接收,17:26:57.535.0,0x00000123,数据帧,标准帧,0x08,02 69 01 02 05 09 00 00 
269,接收,17:26:57.535.0,0x00000123,数据帧,标准帧,0x08,02 70 01 02 05 09 00 00 
270,接收,17:26:57.687.0,0x00000123,数据帧,标准帧,0x08,02 71 01 02 05 09 00 00 
271,接收,17:26:57.687.0,0x00000123,数据帧,标准帧,0x08,02 72 01 02 05 09 00 00 
272,接收,17:26:57.829.0,0x00000123,数据帧,标准帧,0x08,02 73 01 02 05 09 00 00 
273,接收,17:26:57.829.0,0x00000123,数据帧,标准帧,0x08,02 74 01 02 05 09 00 00 
274,接收,17:26:57.952.0,0x00000123,数据帧,标准帧,0x08,02 75 01 02 05 09 00 00 
275,接收,17:26:57.952.0,0x00000123,数据帧,标准帧,0x08,02 76 01 02 05 09 00 00 
276,接收,17:26:58.103.0,0x00000123,数据帧,标准帧,0x08,02 77 01 02 05 09 00 00 
277,接收,17:26:58.103.0,0x00000123,数据帧,标准帧,0x08,02 78 01 02 05 09 00 00 
278,接收,17:26:58.110.0,0x00000123,数据帧,标准帧,0x08,02 79 01 02 05 09 00 00 
279,接收,17:26:58.254.0,0x00000123,数据帧,标准帧,0x08,02 80 01 02 05 09 00 00 
280,接收,17:26:58.254.0,0x00000123,数据帧,标准帧,0x08,02 81 01 02 05 09 00 00 
281,接收,17:26:58.355.0,0x00000123,数据帧,标准帧,0x08,02 82 01 02 05 09 00 00 
282,接收,17:26:58.355.0,0x00000123,数据帧,标准帧,0x08,02 83 01 02 05 09 00 00 
283,接收,17:26:58.510.0,0x00000123,数据帧,标准帧,0x08,02 84 01 02 05 09 00 00 
284,接收,17:26:58.510.0,0x00000123,数据帧,标准帧,0x08,02 85 01 02 05 09 00 00 
285,接收,17:26:58.652.0,0x00000123,数据帧,标准帧,0x08,02 86 01 02 05 09 00 00 
286,接收,17:26:58.652.0,0x00000123,数据帧,标准帧,0x08,02 87 01 02 05 09 00 00 
287,接收,17:26:58.808.0,0x00000123,数据帧,标准帧,0x08,02 88 01 02 05 09 00 00 
288,接收,17:26:58.808.0,0x00000123,数据帧,标准帧,0x08,02 89 01 02 05 09 00 00 
289,接收,17:26:58.808.0,0x00000123,数据帧,标准帧,0x08,02 90 01 02 05 09 00 00 
290,接收,17:26:58.899.0,0x00000123,数据帧,标准帧,0x08,02 91 01 02 05 09 00 00 
291,接收,17:26:59.067.0,0x00000123,数据帧,标准帧,0x08,02 92 01 02 05 09 00 00 
292,接收,17:26:59.067.0,0x00000123,数据帧,标准帧,0x08,02 93 01 02 05 09 00 00 
293,接收,17:26:59.205.0,0x00000123,数据帧,标准帧,0x08,02 94 01 02 05 09 00 00 
294,接收,17:26:59.205.0,0x00000123,数据帧,标准帧,0x08,02 95 01 02 05 09 00 00 
295,接收,17:26:59.205.0,0x00000123,数据帧,标准帧,0x08,02 96 01 02 05 09 00 00 
296,接收,17:26:59.252.0,0x00000123,数据帧,标准帧,0x08,02 97 01 02 05 09 00 00 
297,接收,17:26:59.374.0,0x00000123,数据帧,标准帧,0x08,02 98 01 02 05 09 00 00 
298,接收,17:26:59.516.0,0x00000123,数据帧,标准帧,0x08,02 99 01 02 05 09 00 00 
299,接收,17:26:59.516.0,0x00000123,数据帧,标准帧,0x08,03 00 01 02 05 09 00 00 
300,接收,17:26:59.516.0,0x00000123,数据帧,标准帧,0x08,03 01 01 02 05 09 00 00 
301,接收,17:26:59.638.0,0x00000123,数据帧,标准帧,0x08,03 02 01 02 05 09 00 00 
302,接收,17:26:59.638.0,0x00000123,数据帧,标准帧,0x08,03 03 01 02 05 09 00 00 
303,接收,17:26:59.778.0,0x00000123,数据帧,标准帧,0x08,03 04 01 02 05 09 00 00 
304,接收,17:26:59.778.0,0x00000123,数据帧,标准帧,0x08,03 05 01 02 05 09 00 00 
305,接收,17:26:59.903.0,0x00000123,数据帧,标准帧,0x08,03 06 01 02 05 09 00 00 
306,接收,17:26:59.903.0,0x00000123,数据帧,标准帧,0x08,03 07 01 02 05 09 00 00 
307,接收,17:27:00.059.0,0x00000123,数据帧,标准帧,0x08,03 08 01 02 05 09 00 00 
308,接收,17:27:00.059.0,0x00000123,数据帧,标准帧,0x08,03 09 01 02 05 09 00 00 
309,接收,17:27:00.059.0,0x00000123,数据帧,标准帧,0x08,03 10 01 02 05 09 00 00 
310,接收,17:27:00.182.0,0x00000123,数据帧,标准帧,0x08,03 11 01 02 05 09 00 00 
311,接收,17:27:00.308.0,0x00000123,数据帧,标准帧,0x08,03 12 01 02 05 09 00 00 
312,接收,17:27:00.308.0,0x00000123,数据帧,标准帧,0x08,03 13 01 02 05 09 00 00 
313,接收,17:27:00.478.0,0x00000123,数据帧,标准帧,0x08,03 14 01 02 05 09 00 00 
314,接收,17:27:00.478.0,0x00000123,数据帧,标准帧,0x08,03 15 01 02 05 09 00 00 
315,接收,17:27:00.478.0,0x00000123,数据帧,标准帧,0x08,03 16 01 02 05 09 00 00 
316,接收,17:27:00.521.0,0x00000123,数据帧,标准帧,0x08,03 17 01 02 05 09 00 00 
317,接收,17:27:00.629.0,0x00000123,数据帧,标准帧,0x08,03 18 01 02 05 09 00 00 
318,接收,17:27:00.752.0,0x00000123,数据帧,标准帧,0x08,03 19 01 02 05 09 00 00 
319,接收,17:27:00.752.0,0x00000123,数据帧,标准帧,0x08,03 20 01 02 05 09 00 00 
320,接收,17:27:00.908.0,0x00000123,数据帧,标准帧,0x08,03 21 01 02 05 09 00 00 
321,接收,17:27:00.908.0,0x00000123,数据帧,标准帧,0x08,03 22 01 02 05 09 00 00 
322,接收,17:27:01.031.0,0x00000123,数据帧,标准帧,0x08,03 23 01 02 05 09 00 00 
323,接收,17:27:01.031.0,0x00000123,数据帧,标准帧,0x08,03 24 01 02 05 09 00 00 
324,接收,17:27:01.177.0,0x00000123,数据帧,标准帧,0x08,03 25 01 02 05 09 00 00 
325,接收,17:27:01.177.0,0x00000123,数据帧,标准帧,0x08,03 26 01 02 05 09 00 00 
326,接收,17:27:01.302.0,0x00000123,数据帧,标准帧,0x08,03 27 01 02 05 09 00 00 
327,接收,17:27:01.302.0,0x00000123,数据帧,标准帧,0x08,03 28 01 02 05 09 00 00 
328,接收,17:27:01.459.0,0x00000123,数据帧,标准帧,0x08,03 29 01 02 05 09 00 00 
329,接收,17:27:01.459.0,0x00000123,数据帧,标准帧,0x08,03 30 01 02 05 09 00 00 
330,接收,17:27:01.646.0,0x00000123,数据帧,标准帧,0x08,03 31 01 02 05 09 00 00 
331,接收,17:27:01.646.0,0x00000123,数据帧,标准帧,0x08,03 32 01 02 05 09 00 00 
332,接收,17:27:01.646.0,0x00000123,数据帧,标准帧,0x08,03 33 01 02 05 09 00 00 
333,接收,17:27:01.753.0,0x00000123,数据帧,标准帧,0x08,03 34 01 02 05 09 00 00 
334,接收,17:27:01.753.0,0x00000123,数据帧,标准帧,0x08,03 35 01 02 05 09 00 00 
335,接收,17:27:01.784.0,0x00000123,数据帧,标准帧,0x08,03 36 01 02 05 09 00 00 
336,接收,17:27:01.908.0,0x00000123,数据帧,标准帧,0x08,03 37 01 02 05 09 00 00 
337,接收,17:27:01.908.0,0x00000123,数据帧,标准帧,0x08,03 38 01 02 05 09 00 00 
338,接收,17:27:02.031.0,0x00000123,数据帧,标准帧,0x08,03 39 01 02 05 09 00 00 
339,接收,17:27:02.031.0,0x00000123,数据帧,标准帧,0x08,03 40 01 02 05 09 00 00 
340,接收,17:27:02.183.0,0x00000123,数据帧,标准帧,0x08,03 41 01 02 05 09 00 00 
341,接收,17:27:02.183.0,0x00000123,数据帧,标准帧,0x08,03 42 01 02 05 09 00 00 
342,接收,17:27:02.338.0,0x00000123,数据帧,标准帧,0x08,03 43 01 02 05 09 00 00 
343,接收,17:27:02.338.0,0x00000123,数据帧,标准帧,0x08,03 44 01 02 05 09 00 00 
344,接收,17:27:02.462.0,0x00000123,数据帧,标准帧,0x08,03 45 01 02 05 09 00 00 
345,接收,17:27:02.462.0,0x00000123,数据帧,标准帧,0x08,03 46 01 02 05 09 00 00 
346,接收,17:27:02.601.0,0x00000123,数据帧,标准帧,0x08,03 47 01 02 05 09 00 00 
347,接收,17:27:02.601.0,0x00000123,数据帧,标准帧,0x08,03 48 01 02 05 09 00 00 
348,接收,17:27:02.601.0,0x00000123,数据帧,标准帧,0x08,03 49 01 02 05 09 00 00 
349,接收,17:27:02.754.0,0x00000123,数据帧,标准帧,0x08,03 50 01 02 05 09 00 00 
350,接收,17:27:02.754.0,0x00000123,数据帧,标准帧,0x08,03 51 01 02 05 09 00 00 
351,接收,17:27:02.862.0,0x00000123,数据帧,标准帧,0x08,03 52 01 02 05 09 00 00 
352,接收,17:27:02.862.0,0x00000123,数据帧,标准帧,0x08,03 53 01 02 05 09 00 00 
353,接收,17:27:02.908.0,0x00000123,数据帧,标准帧,0x08,03 54 01 02 05 09 00 00 
354,接收,17:27:03.003.0,0x00000123,数据帧,标准帧,0x08,03 55 01 02 05 09 00 00 
355,接收,17:27:03.164.0,0x00000123,数据帧,标准帧,0x08,03 56 01 02 05 09 00 00 
356,接收,17:27:03.164.0,0x00000123,数据帧,标准帧,0x08,03 57 01 02 05 09 00 00 
357,接收,17:27:03.164.0,0x00000123,数据帧,标准帧,0x08,03 58 01 02 05 09 00 00 
358,接收,17:27:03.300.0,0x00000123,数据帧,标准帧,0x08,03 59 01 02 05 09 00 00 
359,接收,17:27:03.300.0,0x00000123,数据帧,标准帧,0x08,03 60 01 02 05 09 00 00 
360,接收,17:27:03.440.0,0x00000123,数据帧,标准帧,0x08,03 61 01 02 05 09 00 00 
361,接收,17:27:03.566.0,0x00000123,数据帧,标准帧,0x08,03 62 01 02 05 09 00 00 
362,接收,17:27:03.566.0,0x00000123,数据帧,标准帧,0x08,03 63 01 02 05 09 00 00 
363,接收,17:27:03.708.0,0x00000123,数据帧,标准帧,0x08,03 64 01 02 05 09 00 00 
364,接收,17:27:03.708.0,0x00000123,数据帧,标准帧,0x08,03 65 01 02 05 09 00 00 
365,接收,17:27:03.708.0,0x00000123,数据帧,标准帧,0x08,03 66 01 02 05 09 00 00 
366,接收,17:27:03.861.0,0x00000123,数据帧,标准帧,0x08,03 67 01 02 05 09 00 00 
367,接收,17:27:03.861.0,0x00000123,数据帧,标准帧,0x08,03 68 01 02 05 09 00 00 
368,接收,17:27:04.016.0,0x00000123,数据帧,标准帧,0x08,03 69 01 02 05 09 00 00 
369,接收,17:27:04.016.0,0x00000123,数据帧,标准帧,0x08,03 70 01 02 05 09 00 00 
370,接收,17:27:04.016.0,0x00000123,数据帧,标准帧,0x08,03 71 01 02 05 09 00 00 
371,接收,17:27:04.061.0,0x00000123,数据帧,标准帧,0x08,03 72 01 02 05 09 00 00 
372,接收,17:27:04.137.0,0x00000123,数据帧,标准帧,0x08,03 73 01 02 05 09 00 00 
373,接收,17:27:04.275.0,0x00000123,数据帧,标准帧,0x08,03 74 01 02 05 09 00 00 
374,接收,17:27:04.275.0,0x00000123,数据帧,标准帧,0x08,03 75 01 02 05 09 00 00 
375,接收,17:27:04.401.0,0x00000123,数据帧,标准帧,0x08,03 76 01 02 05 09 00 00 
376,接收,17:27:04.401.0,0x00000123,数据帧,标准帧,0x08,03 77 01 02 05 09 00 00 
377,接收,17:27:04.556.0,0x00000123,数据帧,标准帧,0x08,03 78 01 02 05 09 00 00 
378,接收,17:27:04.556.0,0x00000123,数据帧,标准帧,0x08,03 79 01 02 05 09 00 00 
379,接收,17:27:04.711.0,0x00000123,数据帧,标准帧,0x08,03 80 01 02 05 09 00 00 
380,接收,17:27:04.711.0,0x00000123,数据帧,标准帧,0x08,03 81 01 02 05 09 00 00 
381,接收,17:27:04.853.0,0x00000123,数据帧,标准帧,0x08,03 82 01 02 05 09 00 00 
382,接收,17:27:04.853.0,0x00000123,数据帧,标准帧,0x08,03 83 01 02 05 09 00 00 
383,接收,17:27:04.853.0,0x00000123,数据帧,标准帧,0x08,03 84 01 02 05 09 00 00 
384,接收,17:27:05.007.0,0x00000123,数据帧,标准帧,0x08,03 85 01 02 05 09 00 00 
385,接收,17:27:05.007.0,0x00000123,数据帧,标准帧,0x08,03 86 01 02 05 09 00 00 
386,接收,17:27:05.114.0,0x00000123,数据帧,标准帧,0x08,03 87 01 02 05 09 00 00 
387,接收,17:27:05.114.0,0x00000123,数据帧,标准帧,0x08,03 88 01 02 05 09 00 00 
388,接收,17:27:05.238.0,0x00000123,数据帧,标准帧,0x08,03 89 01 02 05 09 00 00 
389,接收,17:27:05.238.0,0x00000123,数据帧,标准帧,0x08,03 90 01 02 05 09 00 00 
390,接收,17:27:05.284.0,0x00000123,数据帧,标准帧,0x08,03 91 01 02 05 09 00 00 
391,接收,17:27:05.363.0,0x00000123,数据帧,标准帧,0x08,03 92 01 02 05 09 00 00 
392,接收,17:27:05.503.0,0x00000123,数据帧,标准帧,0x08,03 93 01 02 05 09 00 00 
393,接收,17:27:05.503.0,0x00000123,数据帧,标准帧,0x08,03 94 01 02 05 09 00 00 
394,接收,17:27:05.657.0,0x00000123,数据帧,标准帧,0x08,03 95 01 02 05 09 00 00 
395,接收,17:27:05.657.0,0x00000123,数据帧,标准帧,0x08,03 96 01 02 05 09 00 00 
396,接收,17:27:05.814.0,0x00000123,数据帧,标准帧,0x08,03 97 01 02 05 09 00 00 
397,接收,17:27:05.814.0,0x00000123,数据帧,标准帧,0x08,03 98 01 02 05 09 00 00 
398,接收,17:27:05.814.0,0x00000123,数据帧,标准帧,0x08,03 99 01 02 05 09 00 00 
399,接收,17:27:05.937.0,0x00000123,数据帧,标准帧,0x08,04 00 01 02 05 09 00 00 
400,接收,17:27:05.937.0,0x00000123,数据帧,标准帧,0x08,04 01 01 02 05 09 00 00 
401,接收,17:27:06.077.0,0x00000123,数据帧,标准帧,0x08,04 02 01 02 05 09 00 00 
402,接收,17:27:06.077.0,0x00000123,数据帧,标准帧,0x08,04 03 01 02 05 09 00 00 
403,接收,17:27:06.232.0,0x00000123,数据帧,标准帧,0x08,04 04 01 02 05 09 00 00 
404,接收,17:27:06.232.0,0x00000123,数据帧,标准帧,0x08,04 05 01 02 05 09 00 00 
405,接收,17:27:06.356.0,0x00000123,数据帧,标准帧,0x08,04 06 01 02 05 09 00 00 
406,接收,17:27:06.356.0,0x00000123,数据帧,标准帧,0x08,04 07 01 02 05 09 00 00 
407,接收,17:27:06.511.0,0x00000123,数据帧,标准帧,0x08,04 08 01 02 05 09 00 00 
408,接收,17:27:06.511.0,0x00000123,数据帧,标准帧,0x08,04 09 01 02 05 09 00 00 
409,接收,17:27:06.511.0,0x00000123,数据帧,标准帧,0x08,04 10 01 02 05 09 00 00 
410,接收,17:27:06.558.0,0x00000123,数据帧,标准帧,0x08,04 11 01 02 05 09 00 00 
411,接收,17:27:06.654.0,0x00000123,数据帧,标准帧,0x08,04 12 01 02 05 09 00 00 
412,接收,17:27:06.842.0,0x00000123,数据帧,标准帧,0x08,04 13 01 02 05 09 00 00 
413,接收,17:27:06.842.0,0x00000123,数据帧,标准帧,0x08,04 14 01 02 05 09 00 00 
414,接收,17:27:06.964.0,0x00000123,数据帧,标准帧,0x08,04 15 01 02 05 09 00 00 
415,接收,17:27:06.964.0,0x00000123,数据帧,标准帧,0x08,04 16 01 02 05 09 00 00 
416,接收,17:27:07.107.0,0x00000123,数据帧,标准帧,0x08,04 17 01 02 05 09 00 00 
417,接收,17:27:07.107.0,0x00000123,数据帧,标准帧,0x08,04 18 01 02 05 09 00 00 
418,接收,17:27:07.107.0,0x00000123,数据帧,标准帧,0x08,04 19 01 02 05 09 00 00 
419,接收,17:27:07.263.0,0x00000123,数据帧,标准帧,0x08,04 20 01 02 05 09 00 00 
420,接收,17:27:07.263.0,0x00000123,数据帧,标准帧,0x08,04 21 01 02 05 09 00 00 
421,接收,17:27:07.356.0,0x00000123,数据帧,标准帧,0x08,04 22 01 02 05 09 00 00 
422,接收,17:27:07.356.0,0x00000123,数据帧,标准帧,0x08,04 23 01 02 05 09 00 00 
423,接收,17:27:07.510.0,0x00000123,数据帧,标准帧,0x08,04 24 01 02 05 09 00 00 
424,接收,17:27:07.510.0,0x00000123,数据帧,标准帧,0x08,04 25 01 02 05 09 00 00 
425,接收,17:27:07.650.0,0x00000123,数据帧,标准帧,0x08,04 26 01 02 05 09 00 00 
426,接收,17:27:07.650.0,0x00000123,数据帧,标准帧,0x08,04 27 01 02 05 09 00 00 
427,接收,17:27:07.821.0,0x00000123,数据帧,标准帧,0x08,04 28 01 02 05 09 00 00 
428,接收,17:27:07.821.0,0x00000123,数据帧,标准帧,0x08,04 29 01 02 05 09 00 00 
429,接收,17:27:07.821.0,0x00000123,数据帧,标准帧,0x08,04 30 01 02 05 09 00 00 
430,接收,17:27:07.882.0,0x00000123,数据帧,标准帧,0x08,04 31 01 02 05 09 00 00 
431,接收,17:27:07.943.0,0x00000123,数据帧,标准帧,0x08,04 32 01 02 05 09 00 00 
432,接收,17:27:08.037.0,0x00000123,数据帧,标准帧,0x08,04 33 01 02 05 09 00 00 
433,接收,17:27:08.178.0,0x00000123,数据帧,标准帧,0x08,04 34 01 02 05 09 00 00 
434,接收,17:27:08.178.0,0x00000123,数据帧,标准帧,0x08,04 35 01 02 05 09 00 00 
435,接收,17:27:08.302.0,0x00000123,数据帧,标准帧,0x08,04 36 01 02 05 09 00 00 
436,接收,17:27:08.302.0,0x00000123,数据帧,标准帧,0x08,04 37 01 02 05 09 00 00 
437,接收,17:27:08.459.0,0x00000123,数据帧,标准帧,0x08,04 38 01 02 05 09 00 00 
438,接收,17:27:08.459.0,0x00000123,数据帧,标准帧,0x08,04 39 01 02 05 09 00 00 
439,接收,17:27:08.459.0,0x00000123,数据帧,标准帧,0x08,04 40 01 02 05 09 00 00 
440,接收,17:27:08.581.0,0x00000123,数据帧,标准帧,0x08,04 41 01 02 05 09 00 00 
441,接收,17:27:08.581.0,0x00000123,数据帧,标准帧,0x08,04 42 01 02 05 09 00 00 
442,接收,17:27:08.718.0,0x00000123,数据帧,标准帧,0x08,04 43 01 02 05 09 00 00 
443,接收,17:27:08.718.0,0x00000123,数据帧,标准帧,0x08,04 44 01 02 05 09 00 00 
444,接收,17:27:08.856.0,0x00000123,数据帧,标准帧,0x08,04 45 01 02 05 09 00 00 
445,接收,17:27:08.856.0,0x00000123,数据帧,标准帧,0x08,04 46 01 02 05 09 00 00 
446,接收,17:27:09.009.0,0x00000123,数据帧,标准帧,0x08,04 47 01 02 05 09 00 00 
447,接收,17:27:09.009.0,0x00000123,数据帧,标准帧,0x08,04 48 01 02 05 09 00 00 
448,接收,17:27:09.024.0,0x00000123,数据帧,标准帧,0x08,04 49 01 02 05 09 00 00 
449,接收,17:27:09.134.0,0x00000123,数据帧,标准帧,0x08,04 50 01 02 05 09 00 00 
450,接收,17:27:09.259.0,0x00000123,数据帧,标准帧,0x08,04 51 01 02 05 09 00 00 
451,接收,17:27:09.259.0,0x00000123,数据帧,标准帧,0x08,04 52 01 02 05 09 00 00 
452,接收,17:27:09.414.0,0x00000123,数据帧,标准帧,0x08,04 53 01 02 05 09 00 00 
453,接收,17:27:09.414.0,0x00000123,数据帧,标准帧,0x08,04 54 01 02 05 09 00 00 
454,接收,17:27:09.414.0,0x00000123,数据帧,标准帧,0x08,04 55 01 02 05 09 00 00 
455,接收,17:27:09.554.0,0x00000123,数据帧,标准帧,0x08,04 56 01 02 05 09 00 00 
456,接收,17:27:09.554.0,0x00000123,数据帧,标准帧,0x08,04 57 01 02 05 09 00 00 
457,接收,17:27:09.700.0,0x00000123,数据帧,标准帧,0x08,04 58 01 02 05 09 00 00 
458,接收,17:27:09.700.0,0x00000123,数据帧,标准帧,0x08,04 59 01 02 05 09 00 00 
459,接收,17:27:09.857.0,0x00000123,数据帧,标准帧,0x08,04 60 01 02 05 09 00 00 
460,接收,17:27:09.857.0,0x00000123,数据帧,标准帧,0x08,04 61 01 02 05 09 00 00 
461,接收,17:27:10.009.0,0x00000123,数据帧,标准帧,0x08,04 62 01 02 05 09 00 00 
462,接收,17:27:10.009.0,0x00000123,数据帧,标准帧,0x08,04 63 01 02 05 09 00 00 
463,接收,17:27:10.009.0,0x00000123,数据帧,标准帧,0x08,04 64 01 02 05 09 00 00 
464,接收,17:27:10.157.0,0x00000123,数据帧,标准帧,0x08,04 65 01 02 05 09 00 00 
465,接收,17:27:10.157.0,0x00000123,数据帧,标准帧,0x08,04 66 01 02 05 09 00 00 
466,接收,17:27:10.172.0,0x00000123,数据帧,标准帧,0x08,04 67 01 02 05 09 00 00 
467,接收,17:27:10.309.0,0x00000123,数据帧,标准帧,0x08,04 68 01 02 05 09 00 00 
468,接收,17:27:10.309.0,0x00000123,数据帧,标准帧,0x08,04 69 01 02 05 09 00 00 
469,接收,17:27:10.433.0,0x00000123,数据帧,标准帧,0x08,04 70 01 02 05 09 00 00 
470,接收,17:27:10.433.0,0x00000123,数据帧,标准帧,0x08,04 71 01 02 05 09 00 00 
471,接收,17:27:10.582.0,0x00000123,数据帧,标准帧,0x08,04 72 01 02 05 09 00 00 
472,接收,17:27:10.582.0,0x00000123,数据帧,标准帧,0x08,04 73 01 02 05 09 00 00 
473,接收,17:27:10.734.0,0x00000123,数据帧,标准帧,0x08,04 74 01 02 05 09 00 00 
474,接收,17:27:10.734.0,0x00000123,数据帧,标准帧,0x08,04 75 01 02 05 09 00 00 
475,接收,17:27:10.734.0,0x00000123,数据帧,标准帧,0x08,04 76 01 02 05 09 00 00 
476,接收,17:27:10.858.0,0x00000123,数据帧,标准帧,0x08,04 77 01 02 05 09 00 00 
477,接收,17:27:10.858.0,0x00000123,数据帧,标准帧,0x08,04 78 01 02 05 09 00 00 
478,接收,17:27:10.978.0,0x00000123,数据帧,标准帧,0x08,04 79 01 02 05 09 00 00 
479,接收,17:27:10.978.0,0x00000123,数据帧,标准帧,0x08,04 80 01 02 05 09 00 00 
480,接收,17:27:11.164.0,0x00000123,数据帧,标准帧,0x08,04 81 01 02 05 09 00 00 
481,接收,17:27:11.164.0,0x00000123,数据帧,标准帧,0x08,04 82 01 02 05 09 00 00 
482,接收,17:27:11.164.0,0x00000123,数据帧,标准帧,0x08,04 83 01 02 05 09 00 00 
483,接收,17:27:11.255.0,0x00000123,数据帧,标准帧,0x08,04 84 01 02 05 09 00 00 
484,接收,17:27:11.286.0,0x00000123,数据帧,标准帧,0x08,04 85 01 02 05 09 00 00 
485,接收,17:27:11.434.0,0x00000123,数据帧,标准帧,0x08,04 86 01 02 05 09 00 00 
486,接收,17:27:11.434.0,0x00000123,数据帧,标准帧,0x08,04 87 01 02 05 09 00 00 
487,接收,17:27:11.533.0,0x00000123,数据帧,标准帧,0x08,04 88 01 02 05 09 00 00 
488,接收,17:27:11.533.0,0x00000123,数据帧,标准帧,0x08,04 89 01 02 05 09 00 00 
489,接收,17:27:11.660.0,0x00000123,数据帧,标准帧,0x08,04 90 01 02 05 09 00 00 
490,接收,17:27:11.660.0,0x00000123,数据帧,标准帧,0x08,04 91 01 02 05 09 00 00 
491,接收,17:27:11.808.0,0x00000123,数据帧,标准帧,0x08,04 92 01 02 05 09 00 00 
492,接收,17:27:11.808.0,0x00000123,数据帧,标准帧,0x08,04 93 01 02 05 09 00 00 
493,接收,17:27:11.967.0,0x00000123,数据帧,标准帧,0x08,04 94 01 02 05 09 00 00 
494,接收,17:27:11.967.0,0x00000123,数据帧,标准帧,0x08,04 95 01 02 05 09 00 00 
495,接收,17:27:11.967.0,0x00000123,数据帧,标准帧,0x08,04 96 01 02 05 09 00 00 
496,接收,17:27:12.105.0,0x00000123,数据帧,标准帧,0x08,04 97 01 02 05 09 00 00 
497,接收,17:27:12.105.0,0x00000123,数据帧,标准帧,0x08,04 98 01 02 05 09 00 00 
498,接收,17:27:12.258.0,0x00000123,数据帧,标准帧,0x08,04 99 01 02 05 09 00 00 
499,接收,17:27:12.258.0,0x00000123,数据帧,标准帧,0x08,05 00 01 02 05 09 00 00 
500,接收,17:27:12.415.0,0x00000123,数据帧,标准帧,0x08,05 01 01 02 05 09 00 00 
501,接收,17:27:12.415.0,0x00000123,数据帧,标准帧,0x08,05 02 01 02 05 09 00 00 
502,接收,17:27:12.415.0,0x00000123,数据帧,标准帧,0x08,05 03 01 02 05 09 00 00 
503,接收,17:27:12.463.0,0x00000123,数据帧,标准帧,0x08,05 04 01 02 05 09 00 00 
504,接收,17:27:12.526.0,0x00000123,数据帧,标准帧,0x08,05 05 01 02 05 09 00 00 
505,接收,17:27:12.682.0,0x00000123,数据帧,标准帧,0x08,05 06 01 02 05 09 00 00 
506,接收,17:27:12.682.0,0x00000123,数据帧,标准帧,0x08,05 07 01 02 05 09 00 00 
507,接收,17:27:12.814.0,0x00000123,数据帧,标准帧,0x08,05 08 01 02 05 09 00 00 
508,接收,17:27:12.814.0,0x00000123,数据帧,标准帧,0x08,05 09 01 02 05 09 00 00 
509,接收,17:27:12.959.0,0x00000123,数据帧,标准帧,0x08,05 10 01 02 05 09 00 00 
510,接收,17:27:12.959.0,0x00000123,数据帧,标准帧,0x08,05 11 01 02 05 09 00 00 
511,接收,17:27:12.959.0,0x00000123,数据帧,标准帧,0x08,05 12 01 02 05 09 00 00 
512,接收,17:27:13.089.0,0x00000123,数据帧,标准帧,0x08,05 13 01 02 05 09 00 00 
513,接收,17:27:13.089.0,0x00000123,数据帧,标准帧,0x08,05 14 01 02 05 09 00 00 
514,接收,17:27:13.203.0,0x00000123,数据帧,标准帧,0x08,05 15 01 02 05 09 00 00 
515,接收,17:27:13.203.0,0x00000123,数据帧,标准帧,0x08,05 16 01 02 05 09 00 00 
516,接收,17:27:13.345.0,0x00000123,数据帧,标准帧,0x08,05 17 01 02 05 09 00 00 
517,接收,17:27:13.345.0,0x00000123,数据帧,标准帧,0x08,05 18 01 02 05 09 00 00 
518,接收,17:27:13.487.0,0x00000123,数据帧,标准帧,0x08,05 19 01 02 05 09 00 00 
519,接收,17:27:13.487.0,0x00000123,数据帧,标准帧,0x08,05 20 01 02 05 09 00 00 
520,接收,17:27:13.607.0,0x00000123,数据帧,标准帧,0x08,05 21 01 02 05 09 00 00 
521,接收,17:27:13.607.0,0x00000123,数据帧,标准帧,0x08,05 22 01 02 05 09 00 00 
522,接收,17:27:13.642.0,0x00000123,数据帧,标准帧,0x08,05 23 01 02 05 09 00 00 
523,接收,17:27:13.762.0,0x00000123,数据帧,标准帧,0x08,05 24 01 02 05 09 00 00 
524,接收,17:27:13.762.0,0x00000123,数据帧,标准帧,0x08,05 25 01 02 05 09 00 00 
525,接收,17:27:13.912.0,0x00000123,数据帧,标准帧,0x08,05 26 01 02 05 09 00 00 
526,接收,17:27:13.912.0,0x00000123,数据帧,标准帧,0x08,05 27 01 02 05 09 00 00 
527,接收,17:27:14.018.0,0x00000123,数据帧,标准帧,0x08,05 28 01 02 05 09 00 00 
528,接收,17:27:14.018.0,0x00000123,数据帧,标准帧,0x08,05 29 01 02 05 09 00 00 
529,接收,17:27:14.159.0,0x00000123,数据帧,标准帧,0x08,05 30 01 02 05 09 00 00 
530,接收,17:27:14.159.0,0x00000123,数据帧,标准帧,0x08,05 31 01 02 05 09 00 00 
531,接收,17:27:14.305.0,0x00000123,数据帧,标准帧,0x08,05 32 01 02 05 09 00 00 
