序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
113,接收,17:26:47.903.0,0x00000123,数据帧,标准帧,0x08,01 14 01 02 05 09 00 00 
114,接收,17:26:47.903.0,0x00000123,数据帧,标准帧,0x08,01 15 01 02 05 09 00 00 
115,接收,17:26:47.903.0,0x00000123,数据帧,标准帧,0x08,01 16 01 02 05 09 00 00 
116,接收,17:26:48.034.0,0x00000123,数据帧,标准帧,0x08,01 17 01 02 05 09 00 00 
117,接收,17:26:48.034.0,0x00000123,数据帧,标准帧,0x08,01 18 01 02 05 09 00 00 
118,接收,17:26:48.150.0,0x00000123,数据帧,标准帧,0x08,01 19 01 02 05 09 00 00 
119,接收,17:26:48.150.0,0x00000123,数据帧,标准帧,0x08,01 20 01 02 05 09 00 00 
120,接收,17:26:48.309.0,0x00000123,数据帧,标准帧,0x08,01 21 01 02 05 09 00 00 
121,接收,17:26:48.309.0,0x00000123,数据帧,标准帧,0x08,01 22 01 02 05 09 00 00 
122,接收,17:26:48.309.0,0x00000123,数据帧,标准帧,0x08,01 23 01 02 05 09 00 00 
123,接收,17:26:48.401.0,0x00000123,数据帧,标准帧,0x08,01 24 01 02 05 09 00 00 
124,接收,17:26:48.524.0,0x00000123,数据帧,标准帧,0x08,01 25 01 02 05 09 00 00 
125,接收,17:26:48.524.0,0x00000123,数据帧,标准帧,0x08,01 26 01 02 05 09 00 00 
126,接收,17:26:48.664.0,0x00000123,数据帧,标准帧,0x08,01 27 01 02 05 09 00 00 
127,接收,17:26:48.664.0,0x00000123,数据帧,标准帧,0x08,01 28 01 02 05 09 00 00 
128,接收,17:26:48.841.0,0x00000123,数据帧,标准帧,0x08,01 29 01 02 05 09 00 00 
129,接收,17:26:48.841.0,0x00000123,数据帧,标准帧,0x08,01 30 01 02 05 09 00 00 
130,接收,17:26:48.841.0,0x00000123,数据帧,标准帧,0x08,01 31 01 02 05 09 00 00 
131,接收,17:26:48.867.0,0x00000123,数据帧,标准帧,0x08,01 32 01 02 05 09 00 00 
132,接收,17:26:48.937.0,0x00000123,数据帧,标准帧,0x08,01 33 01 02 05 09 00 00 
133,接收,17:26:49.068.0,0x00000123,数据帧,标准帧,0x08,01 34 01 02 05 09 00 00 
134,接收,17:26:49.068.0,0x00000123,数据帧,标准帧,0x08,01 35 01 02 05 09 00 00 
135,接收,17:26:49.213.0,0x00000123,数据帧,标准帧,0x08,01 36 01 02 05 09 00 00 
136,接收,17:26:49.213.0,0x00000123,数据帧,标准帧,0x08,01 37 01 02 05 09 00 00 
137,接收,17:26:49.213.0,0x00000123,数据帧,标准帧,0x08,01 38 01 02 05 09 00 00 
138,接收,17:26:49.336.0,0x00000123,数据帧,标准帧,0x08,01 39 01 02 05 09 00 00 
139,接收,17:26:49.336.0,0x00000123,数据帧,标准帧,0x08,01 40 01 02 05 09 00 00 
140,接收,17:26:49.490.0,0x00000123,数据帧,标准帧,0x08,01 41 01 02 05 09 00 00 
141,接收,17:26:49.616.0,0x00000123,数据帧,标准帧,0x08,01 42 01 02 05 09 00 00 
142,接收,17:26:49.616.0,0x00000123,数据帧,标准帧,0x08,01 43 01 02 05 09 00 00 
143,接收,17:26:49.759.0,0x00000123,数据帧,标准帧,0x08,01 44 01 02 05 09 00 00 
144,接收,17:26:49.759.0,0x00000123,数据帧,标准帧,0x08,01 45 01 02 05 09 00 00 
145,接收,17:26:49.759.0,0x00000123,数据帧,标准帧,0x08,01 46 01 02 05 09 00 00 
146,接收,17:26:49.909.0,0x00000123,数据帧,标准帧,0x08,01 47 01 02 05 09 00 00 
147,接收,17:26:49.909.0,0x00000123,数据帧,标准帧,0x08,01 48 01 02 05 09 00 00 
148,接收,17:26:50.011.0,0x00000123,数据帧,标准帧,0x08,01 49 01 02 05 09 00 00 
149,接收,17:26:50.011.0,0x00000123,数据帧,标准帧,0x08,01 50 01 02 05 09 00 00 
150,接收,17:26:50.041.0,0x00000123,数据帧,标准帧,0x08,01 51 01 02 05 09 00 00 
151,接收,17:26:50.163.0,0x00000123,数据帧,标准帧,0x08,01 52 01 02 05 09 00 00 
152,接收,17:26:50.163.0,0x00000123,数据帧,标准帧,0x08,01 53 01 02 05 09 00 00 
153,接收,17:26:50.311.0,0x00000123,数据帧,标准帧,0x08,01 54 01 02 05 09 00 00 
154,接收,17:26:50.311.0,0x00000123,数据帧,标准帧,0x08,01 55 01 02 05 09 00 00 
155,接收,17:26:50.451.0,0x00000123,数据帧,标准帧,0x08,01 56 01 02 05 09 00 00 
156,接收,17:26:50.451.0,0x00000123,数据帧,标准帧,0x08,01 57 01 02 05 09 00 00 
157,接收,17:26:50.559.0,0x00000123,数据帧,标准帧,0x08,01 58 01 02 05 09 00 00 
158,接收,17:26:50.715.0,0x00000123,数据帧,标准帧,0x08,01 59 01 02 05 09 00 00 
159,接收,17:26:50.715.0,0x00000123,数据帧,标准帧,0x08,01 60 01 02 05 09 00 00 
160,接收,17:26:50.715.0,0x00000123,数据帧,标准帧,0x08,01 61 01 02 05 09 00 00 
161,接收,17:26:50.878.0,0x00000123,数据帧,标准帧,0x08,01 62 01 02 05 09 00 00 
162,接收,17:26:50.878.0,0x00000123,数据帧,标准帧,0x08,01 63 01 02 05 09 00 00 
163,接收,17:26:51.014.0,0x00000123,数据帧,标准帧,0x08,01 64 01 02 05 09 00 00 
164,接收,17:26:51.014.0,0x00000123,数据帧,标准帧,0x08,01 65 01 02 05 09 00 00 
165,接收,17:26:51.014.0,0x00000123,数据帧,标准帧,0x08,01 66 01 02 05 09 00 00 
166,接收,17:26:51.162.0,0x00000123,数据帧,标准帧,0x08,01 67 01 02 05 09 00 00 
167,接收,17:26:51.162.0,0x00000123,数据帧,标准帧,0x08,01 68 01 02 05 09 00 00 
168,接收,17:26:51.192.0,0x00000123,数据帧,标准帧,0x08,01 69 01 02 05 09 00 00 
169,接收,17:26:51.277.0,0x00000123,数据帧,标准帧,0x08,01 70 01 02 05 09 00 00 
170,接收,17:26:51.401.0,0x00000123,数据帧,标准帧,0x08,01 71 01 02 05 09 00 00 
171,接收,17:26:51.401.0,0x00000123,数据帧,标准帧,0x08,01 72 01 02 05 09 00 00 
172,接收,17:26:51.538.0,0x00000123,数据帧,标准帧,0x08,01 73 01 02 05 09 00 00 
173,接收,17:26:51.538.0,0x00000123,数据帧,标准帧,0x08,01 74 01 02 05 09 00 00 
174,接收,17:26:51.676.0,0x00000123,数据帧,标准帧,0x08,01 75 01 02 05 09 00 00 
175,接收,17:26:51.676.0,0x00000123,数据帧,标准帧,0x08,01 76 01 02 05 09 00 00 
176,接收,17:26:51.817.0,0x00000123,数据帧,标准帧,0x08,01 77 01 02 05 09 00 00 
